global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
0,0,0,5,56,0.3144060503528821,0.23160942667444856,0.13474047727365665,0.3480028065117842,0.31710864957318813,0.6125266226358279,0.384236779979138,0.04243687164834426,0.7141179145871268,0.12082768447707211,11.471276415977627,11.65538203297183,1
1,0,1,5,56,0.16955792911752593,0.1328173412678348,0.10745798223017769,0.2845761126893051,0.25634946001312514,0.35646782765560375,0.5760153842468175,0.13401140726531574,0.26785753890140235,0.21270642505812015,11.274571508052759,22.93006569100544,1
2,0,2,5,56,0.10509609047707974,0.08814598360727609,0.08951239754896315,0.23999146231721075,0.21126841055313095,0.23836806137139002,0.29040783910952545,0.12958428226654894,0.17467559975490635,0.2340119545849486,11.288123917067423,34.218299973988906,1
3,0,3,5,56,0.07413930643557481,0.06439226540522902,0.07820936724383654,0.20720402403881485,0.1806124932591557,0.1773132235706009,0.17523651702832357,0.11043980762539937,0.13892782236994072,0.19627131163616143,11.305362104903907,45.523776029003784,1
4,0,4,5,56,0.05619051093498681,0.04960484681390091,0.07089798586175224,0.18317897377050185,0.1594240624730365,0.14005566137324155,0.12080345566975456,0.08505404264189316,0.09885266430617543,0.14794519168331802,11.33353049994912,56.857416835962795,1
5,0,5,5,56,0.044383126820950546,0.03954432968848052,0.0659081315917509,0.1654297358974508,0.14430694854192275,0.11490112495336842,0.08036742707339799,0.0633399662754691,0.06671999167325923,0.10592920028323054,11.333557679085061,68.19108528702054,1
6,0,6,5,56,0.03608853802744681,0.03237846699205547,0.06226973354460433,0.1520335826413257,0.13313062131958772,0.09698342541559363,0.051940317464721455,0.046066564694363654,0.044099919577581456,0.07295512128574455,11.329035494942218,79.52023147093132,1
7,0,7,5,56,0.030064550128142867,0.027149109135344227,0.05942434873160833,0.1416227613589001,0.1245360740606311,0.08382954280544021,0.032544451721679635,0.03255377454373696,0.02908268323239795,0.04800092240234738,11.34424324799329,90.86458568496164,1
8,0,8,5,56,0.025610020734973107,0.023277803202168622,0.0570498450651326,0.13326088217274334,0.11764760428560093,0.07397867258297616,0.019784260954970247,0.02215533779670845,0.01979331603254614,0.029642835660081607,11.349480824079365,102.21415115892887,1
9,0,9,5,56,0.022276690152312685,0.02038047163700564,0.05496008543870773,0.12631692496884817,0.11189931490172496,0.06647878577637564,0.012706031094085999,0.014472239800789466,0.015024923958074898,0.017230178833787198,11.342023861943744,113.556259547011,1
10,0,10,5,56,0.019755473686491498,0.018187494414841972,0.0530477093711149,0.12036810199197646,0.10692548781469668,0.060672327082000786,0.011132477739233714,0.009494347458788754,0.013648820392812818,0.011940669142931307,11.357695008045994,124.91404294595122,1
11,0,11,5,56,0.017824663930827177,0.01650436352872757,0.05125122883599425,0.11513133566654112,0.10248981412983893,0.05609114243919275,0.012814356632039918,0.0075935314037871545,0.014132625979140839,0.013759421167883434,11.370734718046151,136.2848620340228,1
12,0,12,5,56,0.016322707004438823,0.01518956838531737,0.04953591775659158,0.11041659499585978,0.0984394736244857,0.05239788225179074,0.015113674712648878,0.008233324384219148,0.015225440433403445,0.01778178651372886,11.368781443918124,147.65372966998257,1
13,0,13,5,56,0.015131711429727118,0.014140427716394023,0.04788261735162,0.10609563005723814,0.09467538684059561,0.049349240835904515,0.017089108066754205,0.00976804428893682,0.016326874032354475,0.021466242443458114,11.355172209907323,159.0089862110326,1
14,0,14,5,56,0.014166148500151802,0.013283008812646975,0.04628113987830472,0.10208119624265105,0.09113300751495038,0.04677057768855892,0.01857203574871387,0.011268676517958142,0.01722931531555389,0.024352353576128194,11.350733107072301,170.35980646195821,1
15,0,15,5,56,0.013364476788243328,0.012564537769571055,0.044726372740367525,0.09831330585752307,0.08776995638618675,0.04453734078218537,0.019595951693317352,0.012479501433013707,0.01788627596252558,0.026464408891508556,11.370279921917245,181.73017197696026,1
16,0,16,5,56,0.012682748718607684,0.011947612405378815,0.04321598213635413,0.09475014401603174,0.08455807501733419,0.04256118302732309,0.02023706611300395,0.013371869027744156,0.018309445213839932,0.027920011100196353,11.361905921017751,193.09217295900453,1
